종목코드,종목명,시장,업종코드,업종명,재무제표 통화,원화 환산 환율,데이터 상태,계산 제외/누락 사유,KRX 시세 매칭,시가총액,상장주식수,유동자산,부채총계,NCAV,주당 NCAV,NCAV 배율,현금및현금성자산,이자발생부채,기타금융부채,2025 연간 영업이익,2025 1분기 영업이익,2026 1분기 영업이익,TTM EBIT,EV,EV/EBIT,보수 EV,보수 EV/EBIT,PER,PBR,F-score,F-score 만점,F-score 비율,ROE,ROA,ROIC,영업이익률,EPS,BPS,배당수익률,주당배당금,operating_income_annual_source,operating_income_previous_q1_source,operating_income_current_q1_source,fundamental_name,투자지표 기준 종가,F-score ROA 양수,F-score CFO 양수,F-score ROA 개선,F-score CFO>순이익,F-score 부채비율 개선,F-score 유동비율 개선,F-score 매출총이익률 개선,F-score 자산회전율 개선,roa_quarter_current,roa_previous,roe_quarter_current,roe_previous,operating_margin_previous,operating_income_current,revenue_current,net_income_annual,net_income_ttm,average_assets_ttm,average_equity_ttm,average_debt_ttm,cfo_current,net_income_current,debt_ratio_current,debt_ratio_previous,current_ratio_current,current_ratio_previous,gross_margin_current,gross_margin_previous,asset_turnover_current,asset_turnover_previous,투하자본
095570,AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,KRW,1.0,계산 제외 있음,NCAV가 0 이하라 NCAV 배율 제외,True,190061587800,45252759,378238421000.0,1339544723000.0,-961306302000.0,-21243.0429269517,,120216929000.0,1201867794000.0,65808324000.0,71548375000.0,15948417838.0,21871050000.0,77471007162.0,1271712452800.0,16.415333934419053,1337520776800.0,17.26479138193084,6.63,0.41,4,7,0.5714285714285714,0.0707716253526965,0.0178098558284568,0.0506736241117679,0.0761643839070244,635.0,10216.0,7.84,330.0,C:\ClaudeSpace\ncav-screener\data\input\2025_4Q_PL_20260617030726\2025_사업보고서_03_포괄손익계산서_연결_20260617.txt,C:\ClaudeSpace\ncav-screener\data\input\2025_1Q_PL_20260224034445\2025_1분기보고서_03_포괄손익계산서_연결_20260224.txt,C:\ClaudeSpace\ncav-screener\data\input\2026_1Q_PL_20260617033319\2026_1분기보고서_03_포괄손익계산서_연결_20260617.txt,AJ네트웍스,4210.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0047448926747344,0.0029470381940932,0.0185948946149497,0.0118806382138207,0.061076491241107,21871050000.0,287155871000.0,28327120000.0,31677320647.0,1778639925674.5,447599168298.5,1201440861870.0,-23282239000.0,8533506000.0,0.6682755823632021,0.6828526744103974,0.4728095013365974,0.5642641117997202,,,0.1596675257291548,0.1484644576210457,1528823101168.5
006840,AK홀딩스,유가증권시장상장법인,649,기타 금융업,KRW,1.0,계산 제외 있음,NCAV가 0 이하라 NCAV 배율 제외 | TTM EBIT가 0 이하라 EV/EBIT 제외 | KRX PER 미제공,True,74451292820,13247561,1220244045299.0,4712288480735.0,-3492044435436.0,-263599.04554778046,,303576703138.0,3079276393813.0,430963765029.0,-147853720731.0,-24406443814.0,67230905742.0,-56216371175.0,2850150983495.0,,3281114748524.0,,,0.18,5,8,0.625,-0.0436055452516029,-0.0085773253888817,-0.0148562525886412,0.0716986687779207,,31492.0,0.0,0.0,C:\ClaudeSpace\ncav-screener\data\input\2025_4Q_PL_20260617030726\2025_사업보고서_03_포괄손익계산서_연결_20260617.txt,C:\ClaudeSpace\ncav-screener\data\input\2025_1Q_PL_20260224034445\2025_1분기보고서_03_포괄손익계산서_연결_20260224.txt,C:\ClaudeSpace\ncav-screener\data\input\2026_1Q_PL_20260617033319\2026_1분기보고서_03_포괄손익계산서_연결_20260617.txt,AK홀딩스,5620.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0211590656513111,-0.0008993604610939,0.1201385484760566,-0.0041315946788737,-0.0256653523669294,67230905742.0,937686945768.0,-174665824989.0,-48596502140.0,5665694133860.5,1114456931099.0,2973140731536.0,146354272622.0,121022342782.0,0.538368452283114,0.5108938348908624,0.4301320167941427,0.4456347541292842,0.2166682322889744,0.1704929009764912,0.1639414606410467,0.1694569846689598,3784020959497.0
054620,APS,코스닥시장상장법인,649,기타 금융업,KRW,1.0,계산 제외 있음,NCAV가 0 이하라 NCAV 배율 제외 | TTM EBIT가 0 이하라 EV/EBIT 제외 | KRX PER 미제공,True,81486399030,18394221,107426056416.0,145838220466.0,-38412164050.0,-2088.273488178705,,25710947870.0,102543587641.0,0.0,-6849442482.0,-2880678846.0,-733432978.0,-4702196614.0,158319038801.0,,158319038801.0,,,0.38,6,8,0.75,0.0062738531128321,0.0036294048708307,-0.0148006665085096,-0.0351297171674324,,11700.0,0.0,0.0,C:\ClaudeSpace\ncav-screener\data\input\2025_4Q_PL_20260617030726\2025_사업보고서_03_포괄손익계산서_연결_20260617.txt,C:\ClaudeSpace\ncav-screener\data\input\2025_1Q_PL_20260224034445\2025_1분기보고서_03_포괄손익계산서_연결_20260224.txt,C:\ClaudeSpace\ncav-screener\data\input\2026_1Q_PL_20260617033319\2026_1분기보고서_03_포괄손익계산서_연결_20260617.txt,APS,4430.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0239895738957095,-0.0028400863143252,0.0394050932423196,-0.0051577052532904,-0.1499931431485122,-733432978.0,20877850354.0,-8682466159.0,1412504644.0,389183542280.5,225141490978.0,118271136833.0,-2306010150.0,8943100048.0,0.2750698259039464,0.3303910900291716,0.9839824919814006,0.5974379552191087,0.3495149494450678,0.3124088392105812,0.0560041519341893,0.047353406262329,317701679941.0
079810,APS이노베이션,코스닥시장상장법인,289,기타 전기장비 제조업,KRW,1.0,정상,,True,63077315420,21528094,159134474432.0,56026758375.0,103107716057.0,4789.449361239318,0.6117613485408755,87900154767.0,38406491962.0,0.0,2549522798.0,1240742937.0,3002995084.0,4311774945.0,13583652615.0,3.150362156715023,13583652615.0,3.150362156715023,732.5,0.37,5,8,0.625,0.0299522087289134,0.0217757399243223,0.0373604601854695,0.1528378472909768,4.0,7818.0,0.0,0.0,C:\ClaudeSpace\ncav-screener\data\input\2025_4Q_PL_20260617030726\2025_사업보고서_03_포괄손익계산서_연결_20260617.txt,C:\ClaudeSpace\ncav-screener\data\input\2025_1Q_PL_20260224034445\2025_1분기보고서_03_포괄손익계산서_연결_20260224.txt,C:\ClaudeSpace\ncav-screener\data\input\2026_1Q_PL_20260617033319\2026_1분기보고서_03_포괄손익계산서_연결_20260617.txt,APS이노베이션,2930.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0283610842369983,0.0062955328870754,0.0375277131528279,0.0090014751212195,0.077336585175812,3002995084.0,19648242482.0,89566093.0,5093588164.0,233911140641.0,170057180427.0,33253087695.0,-4210088005.0,6505201825.0,0.1674428838773009,0.1178423041384707,4.074071042412723,2.537903626822484,0.3791305090938464,0.3108184457930489,0.0856615175257796,0.0672816476511933,115410113355.0
265520,AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,KRW,1.0,정상,,True,307036748400,15050821,426966723382.0,313782827370.0,113183896012.0,7520.114418475909,2.7127246827362024,203488106202.0,119730356792.0,0.0,33328136683.0,7640830447.0,17988139161.0,43675445397.0,223278998990.0,5.112231757694604,223278998990.0,5.112231757694604,12.71,0.82,6,8,0.75,0.1061499379379738,0.0597021410794047,0.1636921324956984,0.0917137915002508,1605.0,24853.0,1.67,340.0,C:\ClaudeSpace\ncav-screener\data\input\2025_4Q_PL_20260617030726\2025_사업보고서_03_포괄손익계산서_연결_20260617.txt,C:\ClaudeSpace\ncav-screener\data\input\2025_1Q_PL_20260224034445\2025_1분기보고서_03_포괄손익계산서_연결_20260224.txt,C:\ClaudeSpace\ncav-screener\data\input\2026_1Q_PL_20260617033319\2026_1분기보고서_03_포괄손익계산서_연결_20260617.txt,AP시스템,20400.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0287206195860239,0.009985921949692,0.0528501433693981,0.0170688344751584,0.0626692213373849,17988139161.0,196133415343.0,23784739380.0,37756164035.0,632408877678.0,355687104189.0,114615568670.0,25720644051.0,19738784042.0,0.1742118472447469,0.1895956493447297,1.7684640526762092,2.2689867991841437,0.165525697506591,0.1871487966482822,0.2853809635987676,0.2111044637224247,266814566657.0
027410,BGF,유가증권시장상장법인,649,기타 금융업,KRW,1.0,정상,,True,382388580045,95716791,481906784269.0,396768263730.0,85138520539.0,889.4836491018592,4.491369800933252,221792595071.0,193998399448.0,44676996344.0,61173853919.0,5151855801.0,8481911218.0,64503909336.0,354594384422.0,5.497254167571807,399271380766.0,6.189878797674118,6.46,0.21,3,8,0.375,0.0305380923649953,0.0258634507608632,0.0333689236292018,0.0808634763953043,618.0,18674.0,3.25,130.0,C:\ClaudeSpace\ncav-screener\data\input\2025_4Q_PL_20260617030726\2025_사업보고서_03_포괄손익계산서_연결_20260617.txt,C:\ClaudeSpace\ncav-screener\data\input\2025_1Q_PL_20260224034445\2025_1분기보고서_03_포괄손익계산서_연결_20260224.txt,C:\ClaudeSpace\ncav-screener\data\input\2026_1Q_PL_20260617033319\2026_1분기보고서_03_포괄손익계산서_연결_20260617.txt,BGF,3995.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0037465290176543,0.0019608232416907,0.0044822566146473,0.0022838292923462,0.0486267314320667,8481911218.0,104891745892.0,56415859416.0,60967381922.0,2357279486241.5,1996437144577.0,158408792363.0,-17391915982.0,9056193593.0,0.0802567464406057,0.0534615532116494,2.666670433410593,2.679342404743619,0.2771116141104949,0.241354104546181,0.0433935036460089,0.0461173113968467,1933053341869.0
282330,BGF리테일,유가증권시장상장법인,471,종합 소매업,KRW,1.0,계산 제외 있음,NCAV가 0 이하라 NCAV 배율 제외,True,2188142499600,17283906,1141644306324.0,2239142872343.0,-1097498566019.0,-63498.29523598428,,352854055634.0,19640000000.0,1439314869752.0,253947326677.0,22625658073.0,38109787404.0,269431456008.0,1854928443966.0,6.8846023825478015,3294243313718.0,12.226647038644913,11.2,1.67,7,8,0.875,0.1762167423454572,0.0616140519222115,0.3145134419783155,0.0179732728799508,11303.0,76009.0,3.24,4100.0,C:\ClaudeSpace\ncav-screener\data\input\2025_4Q_PL_20260617030726\2025_사업보고서_03_포괄손익계산서_연결_20260617.txt,C:\ClaudeSpace\ncav-screener\data\input\2025_1Q_PL_20260224034445\2025_1분기보고서_03_포괄손익계산서_연결_20260224.txt,C:\ClaudeSpace\ncav-screener\data\input\2026_1Q_PL_20260617033319\2026_1분기보고서_03_포괄손익계산서_연결_20260617.txt,BGF리테일,126600.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0083483798573058,0.003992277799399,0.0230717412686985,0.0118513282479409,0.0112204280129024,38109787404.0,2120358804907.0,195263084525.0,211194925959.0,3427707144234.5,1198495234607.0,11020000000.0,101802032054.0,29292565315.0,0.0055973991568954,0.0007171367961718,0.8650165766594874,0.7578787317056818,0.1844954505004911,0.1833048377941854,0.6043021683758828,0.602535390624652,856661178973.0
126600,BGF에코머티리얼즈,코스닥시장상장법인,202,합성고무 및 플라스틱 물질 제조업,KRW,1.0,계산 제외 있음,NCAV가 0 이하라 NCAV 배율 제외,True,188300697000,62766899,243644267765.0,294669425546.0,-51025157781.0,-812.9309969734206,,77881772797.0,186935377834.0,31644874547.0,17346417585.0,4814782197.0,3228419225.0,15760054613.0,297354302037.0,18.867593376974803,328999176584.0,20.87550993082336,13.27,0.45,1,8,0.125,0.0198677104413276,0.0131067810869019,0.027694230473014,0.0347739722966933,226.0,6634.0,1.67,50.0,C:\ClaudeSpace\ncav-screener\data\input\2025_4Q_PL_20260617030726\2025_사업보고서_03_포괄손익계산서_연결_20260617.txt,C:\ClaudeSpace\ncav-screener\data\input\2025_1Q_PL_20260224034445\2025_1분기보고서_03_포괄손익계산서_연결_20260224.txt,C:\ClaudeSpace\ncav-screener\data\input\2026_1Q_PL_20260617033319\2026_1분기보고서_03_포괄손익계산서_연결_20260617.txt,BGF에코머티리얼즈,3000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003326623753096,0.003913281913582,0.0052783251215363,0.005649723078139,0.0486183851652578,3228419225.0,92840104589.0,10029811079.0,9892365622.0,754751724043.5,497911707099.5,149043636034.0,-19801594442.0,2651072052.0,0.2345706401029075,0.1559856432539589,1.4742089430657606,1.731302317184819,0.1834154126751982,0.18851565651496,0.1164978133780607,0.1389773019084651,569073570336.5
001460,BYC,유가증권시장상장법인,141,봉제의복 제조업,KRW,1.0,계산 제외 있음,NCAV가 0 이하라 NCAV 배율 제외,True,207996795000,6246150,191268521265.0,216009596347.0,-24741075082.0,-3961.01199650985,,14152648671.0,95104540796.0,6573628832.0,26573558468.0,4202198337.0,5587914795.0,27959274926.0,288948687125.0,10.334627342438688,295522315957.0,10.56974176687918,14.07,0.48,4,8,0.5,0.0371753006525273,0.0276949379065869,0.0457728172251678,0.1538915503573658,2367.0,68791.0,1.2,400.0,C:\ClaudeSpace\ncav-screener\data\input\2025_4Q_PL_20260617030726\2025_사업보고서_03_포괄손익계산서_연결_20260617.txt,C:\ClaudeSpace\ncav-screener\data\input\2025_1Q_PL_20260224034445\2025_1분기보고서_03_포괄손익계산서_연결_20260224.txt,C:\ClaudeSpace\ncav-screener\data\input\2026_1Q_PL_20260617033319\2026_1분기보고서_03_포괄손익계산서_연결_20260617.txt,BYC,33300.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0054998283204252,0.004483686320128,0.0076100338198793,0.0058283750779031,0.1189044611549052,5587914795.0,36310731694.0,19590575123.0,20673721268.0,746480145134.5,556114433646.0,68865265247.0,3651526579.0,4284340849.0,0.1220861423742607,0.0597031997622734,1.4198247869573637,1.4443488584896584,0.4950639919484295,0.4601386433809456,0.0466122555474629,0.0494995817456132,610827050222.0
083790,CG인바이츠,코스닥시장상장법인,701,자연과학 및 공학 연구개발업,KRW,1.0,계산 제외 있음,NCAV가 0 이하라 NCAV 배율 제외 | TTM EBIT가 0 이하라 EV/EBIT 제외 | KRX PER 미제공,True,67282409250,76894182,40927064485.0,104018206833.0,-63091142348.0,-820.4930556124519,,8981849630.0,43790000000.0,8131985854.0,-23757345761.0,-5179086397.0,-6101710751.0,-24679970115.0,102090559620.0,,110222545474.0,,,0.76,3,8,0.375,-0.1135234184555719,-0.0552733632184067,-0.1611663606789935,-1.4227380661141462,,1144.0,0.0,0.0,C:\ClaudeSpace\ncav-screener\data\input\2025_4Q_PL_20260617030726\2025_사업보고서_03_포괄손익계산서_연결_20260617.txt,C:\ClaudeSpace\ncav-screener\data\input\2025_1Q_PL_20260224034445\2025_1분기보고서_03_포괄손익계산서_연결_20260224.txt,C:\ClaudeSpace\ncav-screener\data\input\2026_1Q_PL_20260617033319\2026_1분기보고서_03_포괄손익계산서_연결_20260617.txt,CG인바이츠,875.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.0268966627342024,-0.0213553996555412,-0.0516900376390404,-0.0466160642933425,-1.6811195221003663,-6101710751.0,4288709845.0,-12512263343.0,-12961009237.0,234489245494.0,114170357212.0,47945000000.0,-4716048189.0,-5832825191.0,0.2019269946488486,0.2066493193504125,0.464037409139482,0.5934324695624312,-0.3928278344509921,0.2806661167648409,0.0197763482512395,0.0122194264129562,153133507582.0
