ticker,name,exchange,sector,industry,country,data_status,data_note,financial_taxonomy,financial_statement_currency,financial_statement_form,financial_statement_end,financial_statement_filed,price,volume,market_cap,shares_outstanding,current_assets,total_liabilities,ncav,ncav_per_share,ncav_ratio,cash_and_equivalents,interest_bearing_debt,other_financial_liabilities,interest_bearing_debt_tags,other_financial_liability_tags,ebit_ttm,ebit_ttm_method,ebit_ttm_annual,ebit_ttm_previous_ytd,ebit_ttm_current_ytd,ev,ev_ebit,conservative_ev,conservative_ev_ebit,cik,cik10,has_quarterly_financials,current_assets_tag,total_liabilities_tag,cash_and_equivalents_tag,operating_income_latest,operating_income_latest_tag,operating_income_latest_end
A,Agilent Technologies Inc. Common Stock,NYSE,Industrials,Biotechnology: Laboratory Analytical Instruments,United States,계산 제외 있음,NCAV가 0 이하,us-gaap,USD,10-Q,2026-04-30,2026-06-01,129.07,2141130.0,36453491012.0,282431943.9993802,4763000000.0,5943000000.0,-1180000000.0,-4.177997655968369,-30.89278899322034,1807000000.0,3034000000.0,189000000.0,"ShortTermBorrowings, LongTermDebtNoncurrent","OperatingLeaseLiabilityCurrent, OperatingLeaseLiabilityNoncurrent",1555000000.0,annual FY - prior Q2 YTD + current Q2 YTD,1479000000.0,676000000.0,752000000.0,37680491012.0,24.231827017363344,37869491012.0,24.353370425723472,1090872.0,0001090872,True,AssetsCurrent,Liabilities,CashAndCashEquivalentsAtCarryingValue,752000000.0,OperatingIncomeLoss,2026-04-30
AA,Alcoa Corporation Common Stock,NYSE,Industrials,Aluminum,United States,확인 필요,추정 EBIT 사용 | NCAV가 0 이하,us-gaap,USD,10-Q,2026-03-31,2026-04-30,48.51,7151419.0,12801297836.0,263889874.99484643,5678000000.0,9749000000.0,-4071000000.0,-15.426889720871268,-3.1445094168508967,1353000000.0,2548000000.0,2629000000.0,"ShortTermBorrowings, LongTermDebtCurrent, LongTermDebtNoncurrent","OperatingLeaseLiabilityCurrent, OperatingLeaseLiabilityNoncurrent, DerivativeLiabilitiesCurrent, DerivativeLiabilitiesNoncurrent, DerivativeLiabilities",1222000000.0,estimated EBIT from pretax income + finance costs (us-gaap),1222000000.0,,,13996297836.0,11.453598883797056,16625297836.0,13.604990045826511,1675149.0,0001675149,True,AssetsCurrent,Liabilities,CashAndCashEquivalentsAtCarryingValue,,,
AAL,American Airlines Group Inc. Common Stock,Nasdaq,Consumer Discretionary,Air Freight/Delivery Services,United States,계산 제외 있음,NCAV가 0 이하,us-gaap,USD,10-Q,2026-03-31,2026-04-23,16.52,176637030.0,10926082463.0,661385136.9854722,13984000000.0,67815000000.0,-53831000000.0,-81.39130589682792,-0.2029700816072523,1002000000.0,13673000000.0,6815000000.0,"LongTermDebtCurrent, LongTermDebtNoncurrent, FinanceLeaseLiabilityCurrent, FinanceLeaseLiabilityNoncurrent","OperatingLeaseLiabilityCurrent, OperatingLeaseLiabilityNoncurrent",1696000000.0,annual FY - prior Q1 YTD + current Q1 YTD,1467000000.0,-270000000.0,-41000000.0,23597082463.0,13.91337409375,30412082463.0,17.931652395636792,6201.0,0000006201,True,AssetsCurrent,LiabilitiesCurrent + LiabilitiesNoncurrent,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-41000000.0,OperatingIncomeLoss,2026-03-31
AAOI,Applied Optoelectronics Inc. Common Stock,Nasdaq,Technology,Semiconductors,United States,계산 제외 있음,TTM EBIT이 음수,us-gaap,USD,10-Q,2026-03-31,2026-05-07,114.44,6265168.0,9182982255.0,80242766.99580567,992577000.0,459927000.0,532650000.0,6.637981464769802,17.24018070965925,439705000.0,41225000.0,73915000.0,"LongTermDebtCurrent, LongTermDebtNoncurrent, FinanceLeaseLiabilityCurrent, FinanceLeaseLiabilityNoncurrent","OperatingLeaseLiabilityCurrent, OperatingLeaseLiabilityNoncurrent",-58656000.0,annual FY - prior Q1 YTD + current Q1 YTD,-54602000.0,-8937000.0,-12991000.0,8784502255.0,,8858417255.0,,1158114.0,0001158114,True,AssetsCurrent,Liabilities,CashAndCashEquivalentsAtCarryingValue,-12991000.0,OperatingIncomeLoss,2026-03-31
AAON,AAON Inc. Common Stock,Nasdaq,Industrials,Industrial Machinery/Components,United States,확인 필요,SEC 부채총계 누락,us-gaap,USD,10-Q,2026-03-31,2026-05-07,107.98,929561.0,8844826446.0,81911710.00185218,943700000.0,,,,,13000.0,4236000.0,18178000.0,"FinanceLeaseLiabilityCurrent, FinanceLeaseLiabilityNoncurrent","OperatingLeaseLiabilityCurrent, OperatingLeaseLiabilityNoncurrent",168196000.0,annual FY - prior Q1 YTD + current Q1 YTD,146248000.0,35111000.0,57059000.0,8849049446.0,52.61153324692621,8867227446.0,52.71960953887132,824142.0,0000824142,True,AssetsCurrent,,CashAndCashEquivalentsAtCarryingValue,57059000.0,OperatingIncomeLoss,2026-03-31
AAP,Advance Auto Parts Inc.,NYSE,Consumer Discretionary,Auto & Home Supply Stores,United States,계산 제외 있음,NCAV가 0 이하,us-gaap,USD,10-Q,2026-04-25,2026-05-21,55.09,3054143.0,3323536069.0,60329208.005082585,7301000000.0,9586000000.0,-2285000000.0,-37.87551793830104,-1.4545015619256016,2956000000.0,3414000000.0,2248000000.0,"LongTermDebtCurrent, LongTermDebtNoncurrent","OperatingLeaseLiabilityCurrent, OperatingLeaseLiabilityNoncurrent",157000000.0,annual FY - prior Q1 YTD + current Q1 YTD,-43000000.0,-131000000.0,69000000.0,3781536069.0,24.086217,6029536069.0,38.40468833757962,1158449.0,0001158449,True,AssetsCurrent,Liabilities,CashAndCashEquivalentsAtCarryingValue,69000000.0,OperatingIncomeLoss,2026-04-25
AAPG,Ascentage Pharma Group International American Depository Shares,Nasdaq,Health Care,Biotechnology: Pharmaceutical Preparations,China,계산 제외 있음,분기보고서 없음(20-F 연간보고서 기준) | TTM EBIT이 음수 | NCAV가 0 이하,ifrs-full,USD,20-F,2024-12-31,2025-04-16,18.86,7639.0,1760214135.0,93330547.98515376,201959000.0,321078000.0,-119119000.0,-1.2763130890322043,-14.77693848168638,122354000.0,232725000.0,0.0,"Borrowings, LeaseLiabilities",,-45319000.0,estimated EBIT from pretax income + finance costs (ifrs-full),-45319000.0,,,1870585135.0,,1870585135.0,,2023311.0,0002023311,False,CurrentAssets,Liabilities,CashAndCashEquivalents,,,
AAPL,Apple Inc. Common Stock,Nasdaq,Technology,Computer Manufacturing,United States,계산 제외 있음,NCAV가 0 이하,us-gaap,USD,10-Q,2026-03-28,2026-05-01,313.39,41298565.0,4602870496840.0,14687356000.0,144114000000.0,264591000000.0,-120477000000.0,-8.202769783751412,-38.20538772412992,45572000000.0,83944000000.0,12490000000.0,"LongTermDebtCurrent, LongTermDebtNoncurrent, FinanceLeaseLiabilityCurrent, FinanceLeaseLiabilityNoncurrent","OperatingLeaseLiabilityCurrent, OperatingLeaseLiabilityNoncurrent",147366000000.0,annual FY - prior Q2 YTD + current Q2 YTD,133050000000.0,72421000000.0,86737000000.0,4641242496840.0,31.494662926590937,4653732496840.0,31.579417890422487,320193.0,0000320193,True,AssetsCurrent,Liabilities,CashAndCashEquivalentsAtCarryingValue,86737000000.0,OperatingIncomeLoss,2026-03-28
AARD,Aardvark Therapeutics Inc. Common Stock,Nasdaq,Health Care,Biotechnology: Pharmaceutical Preparations,United States,계산 제외 있음,TTM EBIT이 음수,us-gaap,USD,10-Q,2026-03-31,2026-05-07,5.28,255521.0,115548354.0,21884157.954545453,93580000.0,11604000.0,81976000.0,3.745906064572759,1.409538816238899,62436000.0,0.0,336000.0,,"OperatingLeaseLiabilityCurrent, OperatingLeaseLiabilityNoncurrent",-74719000.0,annual FY - prior Q1 YTD + current Q1 YTD,-62725000.0,-10470000.0,-22464000.0,53112354.0,,53448354.0,,1774857.0,0001774857,True,AssetsCurrent,Liabilities,CashAndCashEquivalentsAtCarryingValue,-22464000.0,OperatingIncomeLoss,2026-03-31
AAUC,Allied Gold Corporation Common Shares,NYSE,,,,확인 필요,분기보고서 없음(40-F 연간보고서 기준) | 추정 EBIT 사용 | NCAV가 0 이하,ifrs-full,USD,40-F,2025-12-31,2026-04-01,22.66,165756.0,2852894000.0,125900000.0,763709000.0,1619000000.0,-855291000.0,-6.793415409054806,-3.3355828601025848,479777000.0,169774000.0,0.0,"Borrowings, LeaseLiabilities",,263903000.0,estimated EBIT from pretax income + finance costs (ifrs-full),263903000.0,,,2542891000.0,9.635703269761995,2542891000.0,9.635703269761995,1993344.0,0001993344,False,CurrentAssets,Liabilities,CashAndCashEquivalents,,,
